Frame; Unity_timestamps; trial; condition; target_x; target_y; target_z; epoch; error ; Eyes_timestamps; px_eye_right; py_eye_right; px_eye_left; py_eye_left; DiameterRight; DiameterLeft; ArduX; ArduY
186;5598;1;0;0;0;5;2;0;68105.586468;143.5808;153.8639;125.4263;88.46829;49.03524;16.91399;0;0
187;5602;1;0;0;0;5;2;0;68105.586468;143.5808;153.8639;125.4263;88.46829;49.03524;16.91399;0;0
188;5607;1;0;0;0;5;2;0;68105.59071;143.5921;153.9176;125.4263;88.46829;49.03944;16.91399;0;0
189;5614;1;0;0;0;5;2;0;68105.597467;143.5921;153.9176;125.329;88.41605;49.03944;16.92619;0;0
190;5618;1;0;0;0;5;2;0;68105.606044;143.5814;153.8657;125.6801;88.61313;49.26696;16.9387;0;0
191;5623;1;0;0;0;5;2;0;68105.606044;143.5814;153.8657;125.6801;88.61313;49.26696;16.9387;0;0
192;5629;1;0;0;0;5;2;0;68105.61583;143.5339;153.8519;125.659;88.51471;49.40419;16.91196;0;0
193;5635;1;0;0;0;5;2;0;68105.623103;143.6379;153.9298;125.4867;88.5897;48.97589;16.98155;0;0
194;5641;1;0;0;0;5;2;0;68105.623103;143.6379;153.9298;125.4867;88.5897;48.97589;16.98155;0;0
195;5646;1;0;0;0;5;2;0;68105.633023;143.6379;153.9298;125.3091;88.37305;48.97589;16.91634;0;0
196;5674;1;0;0;0;5;2;0;68105.659999;143.559;153.9181;125.0022;88.56844;48.56503;17.07495;0;0
197;5678;1;0;0;0;5;2;0;68105.664657;143.5605;153.9141;125.0022;88.56844;49.02177;17.07495;0;0
198;5683;1;0;0;0;5;2;0;68105.667921;143.5605;153.9141;125.1651;88.59335;49.02177;17.06074;0;0
199;5689;1;0;0;0;5;2;0;68105.677105;143.5966;153.8995;125.072;88.45414;49.04113;17.00718;0;0
200;5694;1;0;0;0;5;2;0;68105.677105;143.5966;153.8995;125.072;88.45414;49.04113;17.00718;0;0
201;5700;1;0;0;0;5;2;0;68105.684277;143.5432;153.8331;124.9879;88.40331;49.47031;16.99703;0;0
202;5705;1;0;0;0;5;2;0;68105.684277;143.5432;153.8331;124.9879;88.40331;49.47031;16.99703;0;0
203;5710;1;0;0;0;5;2;0;68105.694539;143.6801;153.9768;125.3202;88.62913;49.05103;17.0294;0;0
204;5715;1;0;0;0;5;2;0;68105.704682;143.6801;153.9768;125.6558;88.61813;49.05103;16.93648;0;0
205;5721;1;0;0;0;5;2;0;68105.706098;143.6429;153.8911;125.6558;88.61813;49.07191;16.93648;0;0
206;5726;1;0;0;0;5;2;0;68105.714029;143.6429;153.8911;125.7668;88.62427;49.07191;16.92242;0;0
207;5732;1;0;0;0;5;2;0;68105.716367;143.6144;153.92;125.7668;88.62427;48.95642;16.92242;0;0
208;5736;1;0;0;0;5;2;0;68105.722609;143.6144;153.92;125.8186;88.50514;48.95642;16.82827;0;0
209;5742;1;0;0;0;5;2;0;68105.725354;143.6856;153.9196;125.8186;88.50514;49.15768;16.82827;0;0
210;5746;1;0;0;0;5;2;0;68105.735317;143.5534;153.9323;125.6926;88.45657;48.72101;16.83627;0;0
211;5753;1;0;0;0;5;2;0;68105.740862;143.5534;153.9323;125.2896;88.4286;48.72101;16.93535;0;0
212;5758;1;0;0;0;5;2;0;68105.744539;143.5274;153.8936;125.2896;88.4286;48.94915;16.93535;0;0
213;5764;1;0;0;0;5;2;0;68105.751512;143.5274;153.8936;125.5044;88.59853;48.94915;16.98088;0;0
214;5769;1;0;0;0;5;2;0;68105.754036;143.6703;153.9125;125.5044;88.59853;48.86521;16.98088;0;0
215;5774;1;0;0;0;5;2;0;68105.760928;143.6703;153.9125;125.2941;88.47393;48.86521;16.96753;0;0
216;5779;1;0;0;0;5;2;0;68105.764007;143.5988;153.9321;125.2941;88.47393;48.83332;16.96753;0;0
217;5784;1;0;0;0;5;2;0;68105.770364;143.5988;153.9321;125.4656;88.34455;48.83332;16.83127;0;0
218;5790;1;0;0;0;5;2;0;68105.774295;143.6266;153.9028;125.4656;88.34455;49.00621;16.83127;0;0
219;5795;1;0;0;0;5;2;0;68105.780261;143.6266;153.9028;125.887;88.49675;49.00621;16.81093;0;0
220;5800;1;0;0;0;5;2;0;68105.789319;143.6094;153.8609;125.9379;88.61946;49.02892;16.88333;0;0
221;5829;1;0;0;0;5;2;0;68105.81556;143.5822;153.8731;125.3935;88.50898;49.20906;16.95986;0;0
222;5835;1;0;0;0;5;2;0;68105.823116;143.4493;153.6977;125.4007;88.50594;50.29868;16.95666;0;0
223;5838;1;0;0;0;5;2;0;68105.823116;143.4493;153.6977;125.4007;88.50594;50.29868;16.95666;0;0
224;5844;1;0;0;0;5;2;0;68105.833123;143.6;154.0276;125.4986;88.49062;48.29022;16.90864;0;0
225;5851;1;0;0;0;5;2;0;68105.839798;143.6;154.0276;125.4499;88.56984;48.29022;16.96524;0;0
226;5855;1;0;0;0;5;2;0;68105.842229;143.5687;153.9142;125.4499;88.56984;48.81626;16.96524;0;0
227;5861;1;0;0;0;5;2;0;68105.848647;143.5687;153.9142;125.312;88.4879;48.81626;16.9507;0;0
228;5867;1;0;0;0;5;2;0;68105.851528;143.5925;153.8826;125.312;88.4879;48.88414;16.9507;0;0
229;5872;1;0;0;0;5;2;0;68105.858123;143.5925;153.8826;125.282;88.48109;48.88414;16.96359;0;0
230;5877;1;0;0;0;5;2;0;68105.86135;143.5568;153.9548;125.282;88.48109;48.24849;16.96359;0;0
